cityState,state,sitesScreened,noSchema,noViewport,staleCopyright,practicesNamed,namedPractices,tier,tierNote,aiCheckedOn
"Colorado Springs, CO",CO,20,2,1,0,5,Thrive Health Systems Chiropractors of West Colorado Springs; Balance Chiropractic; Etio Chiropractic; Smith Chiropractic; Freedom Chiropractic,GREEN,,2026-09-08
"Portland, ME",ME,20,5,2,0,4,Portland Chiropractic Neurology; Chiropractic & Sports Health; Body Back Chiropractic and Physiotherapy; Jacobs Chiropractic Acupuncture,GREEN,,2026-09-08
"Augusta, GA",GA,20,7,1,2,5,Thigpen Chiropractic; Advanced Chiropractic and Wellness Center; Walker Chiropractic; Tuff Spine; Magnolia Chiropractic,GREEN,,2026-09-08
"Roanoke, VA",VA,20,4,2,2,5,"Core Chiropractic and Wellness Center; Oasis Chiropractic and Wellness; InnerSun Family Chiropractic, LLC; Highland Spine + Sport; Parker J. Adams, DC",GREEN,,2026-09-08
"Clearwater, FL",FL,18,1,1,0,4,Clearwater Spine & Rehabilitation; Jireh Chiropractic; Family Life Chiropractic; The Joint Chiropractic,GREEN,,2026-09-08
"Tulsa, OK",OK,18,1,0,0,5,Vanguard Chiropractic; Tulsa Spine and Rehab Chiropractic; Care Family Medical & Chiropractic; Peace Chiropractic Clinic; Snyder Chiropractic & Acupuncture,GREEN,,2026-09-08
"Waco, TX",TX,16,2,0,2,6,Landmark Chiropractic; Redeemed Chiropractic LLC; McKenzie Chiropractic Center; The Joint Chiropractic; Anthony Medical & Chiropractic Center - Waco; Allied Wellness Centers PLLC,GREEN,,2026-09-08
"Lancaster, PA",PA,15,1,1,1,5,Advanced Chiropractic & Rehab; Family Chiropractic of Lancaster; OWL Chiropractic Center; Lancaster Chiropractic Life Center; Life Potential Chiropractic,GREEN,,2026-09-08
"Springfield, MO",MO,15,2,1,0,5,Meek Integrative Health Center; The Joint Chiropractic - Southeast; 417 Spine Chiropractic Healing Center - South; The Village Chiropractic; Loehr Health Center,GREEN,,2026-09-08
"Rochester, NY",NY,18,6,2,1,4,Pinnacle Hill Chiropractic; IronChiro; Mt. Hope Chiropractic and Wellness; Align Chiropractic of Rochester,GREEN,,2026-09-08
"Lafayette, LA",LA,17,3,1,2,4,The Joint Chiropractic; Hargrave Chiropractic; Modern Chiropractic; Community Chiropractic of Lafayette,GREEN,,2026-09-08
"Shreveport, LA",LA,13,3,0,1,4,Zahn Chiropractic Clinic; Crews Chiropractic; The Joint Chiropractic; Aligned with Dr. Kim,GREEN,,2026-09-08
"Coeur d'Alene, ID",ID,16,3,0,1,4,HomeTown Family Chiropractic; Beyond Bones Chiropractic; Arketype Chiropractic + Functional Health; Chiropractic Therapeutics and Massage,GREEN,,2026-09-08
"Albuquerque, NM",NM,13,2,0,3,5,Anderson Family Chiropractic; Downtown Chiropractic Albuquerque; Blessing Chiropractic; Albuquerque Neck & Back Pain; Illumin8 Chiropractic,GREEN,,2026-09-08
"Columbia, SC",SC,12,3,0,1,4,Chiropractic Professionals of Columbia; Columbia Family Chiropractic; Flex Chiropractic Of Columbia; The Joint Chiropractic - Forest Acres,GREEN,,2026-09-08
"Carmel, IN",IN,14,3,0,0,7,The Premier Life of Carmel; Gilmore Chiropractic; Butwin Chiropractic; HealthSolutions Chiropractic & Spinal Rehab; Nexus Neuro; Rangeline Chiropractic; Cooper Family and Pediatric Chiropractic,GREEN,,2026-09-08
"Idaho Falls, ID",ID,11,3,1,1,4,"Advanced Health Chiropractic; Ascend Chiropractic; Grand Teton Chiropractic, P.C.; Moss Chiropractic-Acupuncture",GREEN,,2026-09-08
"Manchester, NH",NH,11,1,1,1,5,"Chiropractic Associates of Bedford; Amoskeag Chiropractic, Inc; Jumpp Chiropractic; Bazzani Chiropractic Manchester; Manchester Chiropractic & Sports Injuries",GREEN,,2026-09-08
"Myrtle Beach, SC",SC,9,2,0,0,4,Big Wave Chiropractic; O'Neill Chiropractic; Sea One Family Chiropractic; Family Wellness Center,GREEN,,2026-09-08
"Panama City, FL",FL,10,4,0,0,5,Bay Clinic of Chiropractic; Shores Chiropractic & Wellness; Elite Chiropractic & Wellness; Balanced Chiropractic; Bauman Chiropractic,GREEN,,2026-09-08
"Daytona Beach, FL",FL,10,1,0,2,4,"Natural Health and Wellness Chiropractic, LLC; Doris Antos, Chiropractic Physician; Beachside Chiropractic; Evolve Chiropractic & Recovery Lounge",GREEN,,2026-09-08
"Gilbert, AZ",AZ,10,1,0,0,5,Axis Spine and Sport - Gilbert; Desert Springs Chiropractic; Better Chiropractic; Gilbert Chiropractic Clinic; Arizona's Family Chiropractic,GREEN,,2026-09-08
"El Paso, TX",TX,9,3,0,2,4,Injury Medical & Chiropractic Clinic; El Paso Chiropractic & Personal Injury Group PA; Aktiv Integrative Chiropractic; The Joint Chiropractic,GREEN,,2026-09-08
"Greensboro, NC",NC,9,2,0,0,5,Greensboro Chiropractic; Salama Chiropractic Center; Williams Chiropractic & Decompression Center P.C.; Gate City Health; Healing Hands Chiropractic,GREEN,,2026-09-08
"Missoula, MT",MT,9,0,0,0,5,Matz Family Chiropractic & Physical Therapy; Precision Chiropractic; Krieg Chiropractic Center; Bloom Chiropractic and Wellness Center; Life Chiropractic,GREEN,,2026-09-08
"Omaha, NE",NE,9,0,0,0,6,Koca Chiropractic; ProMove Chiropractic and Performance; Platinum Chiropractic + Wellness; Awaken Chiropractic; West Omaha Chiropractic; Diamond Chiropractic,GREEN,,2026-09-08
"Overland Park, KS",KS,9,1,0,2,5,Advanced Sports & Family Chiropractic & Acupuncture; Love Chiropractic; Chiropractic House; Journey Chiropractic; Grabouski Chiropractic,GREEN,,2026-09-08
"Santa Rosa, CA",CA,9,1,0,0,5,Wellness Chiropractic; Russian River Chiropractic; Tucker Chiropractic; ELEVATE Chiropractic; Dr. Kyle Chiropractic and Wellness Center,GREEN,,2026-09-08
"Bakersfield, CA",CA,8,1,0,0,5,Core Chiropractic + Wellness; Envista Medical; California Chiropractic; Pro-Motion Sports Chiropractic; Bakersfield Family Chiropractic,GREEN,,2026-09-08
"Edmond, OK",OK,8,0,0,0,5,Optimal Family Chiropractic; Nightengale Chiropractic; The Joint Chiropractic; Oklahoma Chiropractic; Back to Wellness Chiropractic,GREEN,,2026-09-08
"Little Rock, AR",AR,7,0,0,0,5,Restoration Health Chiropractic; Wellness Revolution; The Specific Chiropractic Centers; The Joint Chiropractic - Rodney Parham; Diamond State Chiropractic,GREEN,,2026-09-08
"Longview, TX",TX,7,3,0,0,6,Longview Spine & Sports Medicine; Optimize Chiropractic; Longview Chiropractic Center; Woods Chiropractic Center; Hunter Chiropractic Health Center Inc.; The Joint Chiropractic,GREEN,,2026-09-08
"Norman, OK",OK,7,0,0,1,5,Oklahoma Chiropractic Collective; Active Chiropractic Health & Wellness; Sparks Clinic; DeLong Family Chiropractic; J. Rowe Chiropractic,GREEN,,2026-09-08
"Ocala, FL",FL,7,1,1,0,6,Fakhoury Medical and Chiropractic Center - Ocala; Chiropractic Centers of Ocala; Ocala Chiropractic and Wellness; Vida Chiropractic; ChiropracticUSA; The Joint Chiropractic,GREEN,,2026-09-08
"Fresno, CA",CA,6,2,0,0,2,Accident Recovery Center; Gill Chiropractic,YELLOW,,2026-09-08
"Savannah, GA",GA,6,0,0,0,6,Bright Life Chiropractic; Arrowhead Clinic Chiropractor Savannah; Crossroads Chiropractic and Wellness Center; Complete Chiropractic; Thompson Chiropractic & Wellness Center; The Joint Chiropractic,GREEN,,2026-09-08
"Lakeland, FL",FL,5,2,0,1,5,The Joint Chiropractic - Lakeland South; Chiropractic Center of Lakeland; New Hope Chiropractic; Kern Chiropractic Clinic; Love Chiropractic Center,GREEN,,2026-09-08
"Lubbock, TX",TX,7,1,0,0,4,Helton Chiropractic; Blair Chiropractic Clinic; Lubbock Advanced Physical Medicine; Global Health Chiropractic,GREEN,,2026-09-08
"Beaumont, TX",TX,6,1,0,1,5,"The Joint Chiropractic; Thrive Beaumont; Roots Chiropractic & Wellness; Beaumont Chiropractic Clinic; Cobb Family Chiropractic, PLLC",GREEN,,2026-09-08
"Midland, TX",TX,4,1,0,0,5,Society Chiropractic Company; Golightley Chiropractic; Exodus Spine and Wellness Center; Rise Chiropractic & Wellness; The Joint Chiropractic,GREEN,,2026-09-08
