cityState,state,sitesScreened,noSchema,noViewport,staleCopyright,practicesNamed,namedPractices,tier,tierNote,aiCheckedOn
"Clearwater, FL",FL,10,0,0,1,2,Beyond Dentistry Clearwater; Clearwater Dentist,YELLOW,,2026-09-08
"Little Rock, AR",AR,10,0,0,0,3,"Kevin G. Jones, DDS; Smile Dailey General and Cosmetic Dentistry; ASAP Smile Center",GREEN,,2026-09-08
"Midland, TX",TX,10,0,0,1,3,Boyles General Dentistry & Implant Center; The Dental Studio of Midland; Coulon Dental,GREEN,,2026-09-08
"Shreveport, LA",LA,10,3,0,1,3,Scruggs Family Dentistry; Southern Roots Dentistry; Shreveport Bossier Family Dental Care,GREEN,,2026-09-08
"Coeur d'Alene, ID",ID,9,0,0,0,3,Orban Family Dental; Coeur d'Alene Dental Center; Idaho Family Dental Center,GREEN,,2026-09-08
"Colorado Springs, CO",CO,9,2,0,0,5,Powers Dental Group; SmileCOS Dentistry; Kissing Camels Family Dentistry; Springs Dentistry; Bright Dentistry,GREEN,,2026-09-08
"Fresno, CA",CA,9,2,0,1,5,Fresno Smile Makeovers; Fresno Dental Professionals; Donan Family Dentistry; Haraz Dental Group; Shinkawa Dental,GREEN,,2026-09-08
"Greensboro, NC",NC,9,0,0,0,2,Triad Dentistry; Mango Dental,YELLOW,,2026-09-08
"Lakeland, FL",FL,9,2,0,0,1,Lakeland Dental Professionals,RED,,2026-09-08
"Lubbock, TX",TX,9,1,0,3,4,"Grimes Dentistry; Gregory Dental; Kevin Shively, DMD, Family & Cosmetic Dentistry; Dental Group of Lubbock",GREEN,,2026-09-08
"Missoula, MT",MT,9,1,0,0,2,Cornerstone Dental Missoula; Olsen & Peters Dental Group,YELLOW,,2026-09-08
"Portland, ME",ME,9,2,0,0,5,The Dental Loft; Coastal Family Dental; Maine Dentistry - Portland; Thrive Dental Studio; Inspire Dental of Maine,GREEN,,2026-09-08
"Waco, TX",TX,9,0,0,0,3,WM Dentistry of Waco; Dr Smilee Dental of Waco; Steven T Cutbirth DDS Waco TX,GREEN,,2026-09-08
"Albuquerque, NM",NM,8,0,0,2,2,Academy Dental Care; New Mexico Smile Center,YELLOW,,2026-09-08
"Augusta, GA",GA,8,1,0,0,2,Advanced Dentistry of Augusta; West Augusta Dental Associates,YELLOW,,2026-09-08
"Bakersfield, CA",CA,8,1,1,1,4,Salin Dentistry; Valley Grace Dental; Kobliska Dental Co.; Bakersfield Smile Design,GREEN,,2026-09-08
"Carmel, IN",IN,8,1,0,0,5,Cornerstone Dentistry; Dentistry on 116; Image Dental; Smile N' Style Dental of Carmel; Smiles in the Village Dentistry,GREEN,,2026-09-08
"Columbia, SC",SC,8,1,0,0,4,Bethea Family Dentistry; Elmtree Family Dental; 32 Dental; Columbia Smiles,GREEN,,2026-09-08
"Edmond, OK",OK,8,3,0,0,4,Edmond Dental Center; Legacy Dental Group; Damon R. Johnson DDS Dental Excellence; Coffee Creek Family Dentistry,GREEN,,2026-09-08
"Gilbert, AZ",AZ,8,1,0,0,5,Gilbert Smiles; Island Dental; Oasis Family Dentistry & Orthodontics; Smile Loft Dentistry of Gilbert; Precision Dental,GREEN,,2026-09-08
