cityState,state,sitesScreened,noSchema,noViewport,staleCopyright,companiesNamed,namedCompanies,tier,tierNote,aiCheckedOn
"Aiken, SC",SC,10,1,0,2,6,"Mr. Central; Holley Heating & Air Conditioning Inc; Kimballs Plumbing Heating-Electrical & AC LLC; Carolina HVAC And Electrical; AIKEN HVAC, LLC; Holsenback Services Inc.",GREEN,,2026-09-08
"Allentown, PA",PA,10,2,0,0,5,"Jack Lehr Heating Cooling & Electric; Hannabery HVAC; HL Bowman Inc Plumbing Heating & AC; Ace Hardware Home Services (Formerly Werley Heating & Air); Dual Temp Co., Inc.",GREEN,,2026-09-08
"Augusta, GA",GA,10,1,0,0,5,"Atlas Heating and Air Conditioning Inc; Busby's Heating & Air Conditioning; Bailey's Comfort Services; Doc Savage Heating and Air Conditioning, Inc.; Duggan's One Hour Heating & Air Conditioning",GREEN,,2026-09-08
"Bakersfield, CA",CA,10,1,0,0,4,South Valley AC & Heating LLC; Xceptional Heating & Air; Can Do Crew Plumbing & HVAC; American Dream Services,GREEN,,2026-09-08
"Baton Rouge, LA",LA,10,0,1,1,5,"AccuTemp Services; Southern Air Heating, Cooling, & Plumbing; Capital City Comfort; Fire and Ice Heating & Air LLC; ClimaServ Heating & Air Conditioning",GREEN,,2026-09-08
"Billings, MT",MT,10,1,0,0,5,"White Heating & Air Conditioning; Central Heating & Air Conditioning; Platinum HVAC LLC; Superior Heating, Cooling & Electric; Comfort Heating and Air Conditioning, LLC",GREEN,,2026-09-08
"Boise, ID",ID,10,0,0,0,5,"Diamond Heating, Cooling, Plumbing & Electric; Peppy Heating and Cooling Boise; Western Heating and Air Conditioning; Right Now Heating and Air Conditioning; Capital City Heating & Cooling",GREEN,,2026-09-08
"Bowling Green, KY",KY,10,1,0,1,6,"Top Notch Heating & Air Conditioning; Gra-Tac Heating & Cooling; Aire Serv of Bowling Green; Greenwood Refrigeration, Inc.; Hiller Plumbing, Heating, Cooling & Electrical; Lee Company",GREEN,,2026-09-08
"Bozeman, MT",MT,10,1,0,1,5,Ambient Air Solutions; Mountain Heating and Cooling; Monarch Heating & Cooling; Premier Systems; Comfort Systems of Montana,GREEN,,2026-09-08
"Buffalo, NY",NY,10,0,0,0,5,"Reimer Heating, Cooling & Plumbing; Zenner & Ritter Home Services; T-Mark Plumbing, Heating & Cooling; JP Heating & Cooling, LLC; Adema Heating & Air Conditioning Inc",GREEN,,2026-09-08
