cityState,state,sitesScreened,noSchema,noViewport,staleCopyright,clinicsNamed,tier,aiCheckedOn
"Bakersfield, CA",CA,12,1,0,0,5,GREEN,2026-09-08
"Baton Rouge, LA",LA,12,6,3,0,3,YELLOW,2026-09-08
"Myrtle Beach, SC",SC,12,2,0,2,5,GREEN,2026-09-08
"Tucson, AZ",AZ,12,2,2,0,3,YELLOW,2026-09-08
"Edmond, OK",OK,11,1,1,1,6,GREEN,2026-09-08
"Tulsa, OK",OK,11,6,0,0,5,GREEN,2026-09-08
"Lafayette, LA",LA,10,3,3,1,4,GREEN,2026-09-08
"Little Rock, AR",AR,10,4,1,1,4,GREEN,2026-09-08
"Albuquerque, NM",NM,11,1,0,0,5,GREEN,2026-09-08
"Columbia, SC",SC,11,2,0,3,5,GREEN,2026-09-08
"Midland, TX",TX,11,4,0,0,4,GREEN,2026-09-08
"Norman, OK",OK,11,1,0,1,4,GREEN,2026-09-08
"Omaha, NE",NE,11,2,0,0,5,GREEN,2026-09-08
"Rochester, NY",NY,11,1,0,0,4,GREEN,2026-09-08
"Coeur d'Alene, ID",ID,10,2,1,0,5,GREEN,2026-09-08
"El Paso, TX",TX,10,3,1,1,5,GREEN,2026-09-08
"Beaumont, TX",TX,10,2,1,1,5,GREEN,2026-09-08
"Carmel, IN",IN,10,2,0,0,5,GREEN,2026-09-08
"Chandler, AZ",AZ,10,1,0,0,3,YELLOW,2026-09-08
"Colorado Springs, CO",CO,10,2,1,0,5,GREEN,2026-09-08
"Gilbert, AZ",AZ,10,4,3,0,5,GREEN,2026-09-08
"Lancaster, PA",PA,10,2,0,2,4,GREEN,2026-09-08
"McAllen, TX",TX,10,1,0,1,3,YELLOW,2026-09-08
"Savannah, GA",GA,10,3,3,0,5,GREEN,2026-09-08
"Stuart, FL",FL,10,3,0,0,5,GREEN,2026-09-08
"Waco, TX",TX,10,3,1,0,5,GREEN,2026-09-08
"Augusta, GA",GA,9,3,2,0,5,GREEN,2026-09-08
"Idaho Falls, ID",ID,9,3,1,0,4,GREEN,2026-09-08
