cityState,state,sitesScreened,noSchema,noViewport,staleCopyright,companiesNamed,namedCompanies,tier,tierNote,aiCheckedOn
"Bradenton, FL",FL,10,0,0,0,5,Blue Collar Roofing; Mid-Coast Roofing; AKVM Roofing Company; Florida State Roofing; Len's Roofing,GREEN,,2026-09-10
"Castle Rock, CO",CO,10,0,0,2,5,"North Peak Roofing & Contracting; Rex Roofing & Solar, LLC; Verity Roofing; Columbine Roofing & Exteriors; Celtic Roofing",GREEN,,2026-09-10
"Albany, NY",NY,9,0,0,0,5,Perfection Roofing; Star Roofing & Restoration; Center Construction Roofing; Home Evolution Roofing; Build Pros Roofing and Siding,GREEN,,2026-09-10
"Amarillo, TX",TX,9,1,0,1,5,"Roof Smith; Morgan & Myers Roofing and Exteriors, LLC; Accent Roofing of Amarillo, LLC; Pristine Roofing and Construction; Price Roofing Co.",GREEN,,2026-09-10
"Annapolis, MD",MD,9,2,0,0,4,"Benchmark Roofers; Black Anchor Roofing; Wells Home Improvements; Chesapeake Roofing, Windows & Siding Inc.",GREEN,,2026-09-10
"Appleton, WI",WI,9,0,0,0,5,"Kingdom Roofing; Security-Luebke Roofing, Inc.; DuraShield Roofing & Contracting; Ridge Top Exteriors; Upward Exteriors Roofing",GREEN,,2026-09-10
"Asheville, NC",NC,9,1,0,0,5,Elite Roof and Solar - Asheville; John McClung Roofing; Lane Roofing and Restoration LLC; Ridge Roofing; Pisgah Roofing and Restoration,GREEN,,2026-09-10
"Baton Rouge, LA",LA,9,0,0,0,6,"Roof Gecko; Lifetime Roofing; Reliable Roofing and Construction; V & V Roofing and Sheet Metal, LLC; Pelican Roofing Company; Mid City Roofing",GREEN,,2026-09-10
"Bellingham, WA",WA,9,5,0,0,5,Skyline Roofing & Construction; Alpine Exteriors; Mt Baker Roofing; Whatcom Roofing; Cruz Roofing Contractor LLC,GREEN,,2026-09-10
"Bend, OR",OR,9,0,0,0,5,Scott's Roofing; Greenlee Roofing; Tactical Roofing & Construction; Deschutes Roofing; Northwest Quality Roofing LLC,GREEN,,2026-09-10
"Billings, MT",MT,9,1,0,0,5,Wegner Roofing & Solar; Kirkness Roofing Inc; Built Wright Homes; Seal Tight Roofing and Siding; Sprague Roofing,GREEN,,2026-09-10
"Bozeman, MT",MT,9,0,0,0,5,Ace Roofing LLC; Langley Roofing; PowCo Roofing; Top Edge Roofing; SureRoof,GREEN,,2026-09-10
"Cedar Rapids, IA",IA,9,1,0,0,4,Garcia Roofing & Exteriors; Robison Construction; Martinez Roofing & Construction; Perfect Pitch Roofing,GREEN,,2026-09-10
"Champaign, IL",IL,9,1,0,0,5,"Freedom Roofing & Construction, Inc.; Central Roofing of Champaign; Roof Panther - Roofing and Construction; Freeman Exteriors; Copper Creek Contractors",GREEN,,2026-09-10
"Chandler, AZ",AZ,9,2,0,1,4,Discount Roofing LLC; Power Peak Roofing; Real Roofing; VHB Roofing,GREEN,,2026-09-10
"Clarksville, TN",TN,9,1,0,1,4,"Windstar Roofing, LLC; The Clarksville Roof Guys; Big Timber Roofing; Integrity Roofing & Exteriors",GREEN,,2026-09-10
"Clearwater, FL",FL,9,2,0,0,4,Dean Roofing Company; Classic Roofing and Construction; Handyman Roofing; KAM Roofing Services,GREEN,,2026-09-10
"College Station, TX",TX,9,1,0,2,5,Spire Roofing Solutions; Southern Star Roofing and Seamless Gutters; Lone-Star Roof Systems; State Roofing Company; Brazos Valley Roofing Experts,GREEN,,2026-09-10
"Colorado Springs, CO",CO,9,1,0,2,5,Rampart Roofing & Exteriors; Petrali Roofing; Pierce Roofing; RIZE Roofing; Cheyenne Mountain Roofing,GREEN,,2026-09-10
"Aiken, SC",SC,8,1,0,0,3,South Point Roofing & Gutters; Rite Price Roofing; C&B Roofing LLC,GREEN,,2026-09-10
"Akron, OH",OH,8,0,0,0,5,Darrell Yoder Roofing; DroCo Roofing; Spartan StormShield; BLC Roofing; Homegrown Roofing and Construction,GREEN,,2026-09-10
"Albuquerque, NM",NM,8,0,0,0,5,Altitude Roofing; Ridgeview Roofing & Restoration; Premium Roofing; National Roofing; RMC Roofing & Construction,GREEN,,2026-09-10
"Alpharetta, GA",GA,8,1,0,0,4,"Georgia Roofing & Repair, Inc.; Inspector Roofing and Restoration; Perfection Roofing & Siding; Capital City Roofing",GREEN,,2026-09-10
"Anchorage, AK",AK,8,0,0,1,4,Harris Roofing; Storm Proof Roofing; Premier Roofing Co.; Reds Roofing & Renovations LLC,GREEN,,2026-09-10
"Bakersfield, CA",CA,8,3,0,0,6,"Roof On Brand; Castle Roofing; Bear Mountain Roofing Inc.; Ed and J United Roofing; BSW Roofing, Solar & Air; Wilson Brothers Roofing",GREEN,,2026-09-10
"Beaumont, TX",TX,8,3,0,0,5,"M&M Roofing, Siding & Windows - Beaumont; Dutchmark Roofing Beaumont Tx; Cool Roofs - Beaumont; American Roofing & Construction; Monument Roofing Systems",GREEN,,2026-09-10
"Bismarck, ND",ND,8,1,0,0,4,Wegner Roofing & Solar; ROOFTOP - Your Roofing Contractor.; Arrow Roofing Systems; All Seasons Roofing,GREEN,,2026-09-10
"Boca Raton, FL",FL,8,2,0,0,4,Whale Roofing & Construction; Blues Brothers Roofing; Roof Masters by Build Masters; CLS Roofing Contractor of Boca Raton,GREEN,,2026-09-10
"Boise, ID",ID,8,0,0,0,5,Idaho Roofing Contractors; Signature Roofing; Point Roofing & Restoration; Blue Goat Roofing Inc.; Recon Roofing & Solar,GREEN,,2026-09-10
"Buffalo, NY",NY,8,1,0,0,3,King Remodeling Corp; All Access Builders LLC; Buffalo's Best Roofing Company LLC,GREEN,,2026-09-10
